Nivel de consistência; Data; Cota
1;2019-04-09;155
1;2019-04-09;150
1;2019-04-09;150
1;2019-04-09;151
1;2019-04-09;151
1;2019-04-09;163
1;2019-04-09;184
1;2019-04-09;177
1;2019-04-09;160
1;2019-04-09;160
1;2019-04-09;151
1;2019-04-09;145
1;2019-04-09;152
1;2019-04-09;153
1;2019-04-09;148
1;2019-04-09;141
1;2019-04-01;145
1;2019-04-02;160
1;2019-04-03;150
1;2019-04-04;126
1;2019-04-05;141
1;2019-04-06;133
1;2019-04-07;136
1;2019-04-08;154
1;2019-04-09;134
1;2019-04-09;135
1;2019-04-09;170
1;2019-04-09;160
1;2019-04-09;164
1;2019-04-09;173
1;2019-04-09;156
1;2019-04-09;158
1;2019-04-09;160
1;2019-04-09;152
1;2019-04-09;152
1;2019-04-09;156
1;2019-04-09;188
1;2019-04-09;192
1;2019-04-09;164
1;2019-04-09;160
1;2019-04-09;150
1;2019-04-09;137
1;2019-04-09;152
1;2019-04-09;158
1;2019-04-09;147
1;2019-04-09;149
1;2019-04-01;172
1;2019-04-02;146
1;2019-04-03;142
1;2019-04-04;127
1;2019-04-05;137
1;2019-04-06;144
1;2019-04-07;135
1;2019-04-08;136
1;2019-04-09;144
1;2019-04-09;153
1;2019-04-09;157
1;2019-04-09;169
1;2019-04-09;171
1;2019-04-09;162
1;2019-04-09;154
1;2019-04-09;141
1;2019-04-09;140
1;2019-04-09;150
1;2019-04-09;149
1;2019-04-09;170
1;2019-04-09;180
1;2019-04-09;161
1;2019-04-09;156
1;2019-04-09;160
1;2019-04-09;152
1;2019-04-09;152
1;2019-04-09;151
1;2019-04-09;148
1;2019-04-09;148
1;2019-04-09;133
1;2019-03-01;154
1;2019-03-02;155
1;2019-03-03;160
1;2019-03-04;167
1;2019-03-05;158
1;2019-03-06;176
1;2019-03-07;184
1;2019-03-08;166
1;2019-03-09;145
1;2019-03-09;145
1;2019-03-09;139
1;2019-03-09;142
1;2019-03-09;135
1;2019-03-09;150
1;2019-03-09;157
1;2019-03-09;153
1;2019-03-09;142
1;2019-03-09;157
1;2019-03-09;158
1;2019-03-09;190
1;2019-03-09;220
1;2019-03-09;178
1;2019-03-09;236
1;2019-03-09;224
1;2019-03-09;222
1;2019-03-09;230
1;2019-03-09;223
1;2019-03-09;190
1;2019-03-09;179
1;2019-03-09;176
1;2019-03-09;152
1;2019-03-01;144
1;2019-03-02;158
1;2019-03-03;178
1;2019-03-04;172
1;2019-03-05;152
1;2019-03-06;176
1;2019-03-07;184
1;2019-03-08;167
1;2019-03-09;147
1;2019-03-09;155
1;2019-03-09;143
1;2019-03-09;152
1;2019-03-09;137
1;2019-03-09;161
1;2019-03-09;160
1;2019-03-09;164
1;2019-03-09;152
1;2019-03-09;166
1;2019-03-09;164
1;2019-03-09;179
1;2019-03-09;198
1;2019-03-09;176
1;2019-03-09;234
1;2019-03-09;240
1;2019-03-09;216
1;2019-03-09;227
1;2019-03-09;236
1;2019-03-09;194
1;2019-03-09;184
1;2019-03-09;170
1;2019-03-09;141
1;2019-03-01;164
1;2019-03-02;152
1;2019-03-03;142
1;2019-03-04;162
1;2019-03-05;163
1;2019-03-06;176
1;2019-03-07;183
1;2019-03-08;164
1;2019-03-09;142
1;2019-03-09;134
1;2019-03-09;134
1;2019-03-09;131
1;2019-03-09;132
1;2019-03-09;139
1;2019-03-09;153
1;2019-03-09;142
1;2019-03-09;132
1;2019-03-09;148
1;2019-03-09;151
1;2019-03-09;200
1;2019-03-09;242
1;2019-03-09;179
1;2019-03-09;238
1;2019-03-09;208
1;2019-03-09;228
1;2019-03-09;232
1;2019-03-09;210
1;2019-03-09;185
1;2019-03-09;174
1;2019-03-09;181
1;2019-03-09;162
1;2019-02-01;130
1;2019-02-02;122
1;2019-02-03;121
1;2019-02-04;117
1;2019-02-05;114
1;2019-02-06;119
1;2019-02-07;121
1;2019-02-08;138
1;2019-02-09;176
1;2019-02-09;196
1;2019-02-09;194
1;2019-02-09;186
1;2019-02-09;160
1;2019-02-09;156
1;2019-02-09;161
1;2019-02-09;159
1;2019-02-09;167
1;2019-02-09;162
1;2019-02-09;165
1;2019-02-09;190
1;2019-02-09;223
1;2019-02-09;234
1;2019-02-09;212
1;2019-02-09;194
1;2019-02-09;178
1;2019-02-09;152
1;2019-02-09;153
1;2019-02-09;156
1;2019-02-01;120
1;2019-02-02;122
1;2019-02-03;122
1;2019-02-04;118
1;2019-02-05;116
1;2019-02-06;117
1;2019-02-07;122
1;2019-02-08;127
1;2019-02-09;176
1;2019-02-09;210
1;2019-02-09;188
1;2019-02-09;182
1;2019-02-09;162
1;2019-02-09;160
1;2019-02-09;166
1;2019-02-09;157
1;2019-02-09;175
1;2019-02-09;160
1;2019-02-09;162
1;2019-02-09;180
1;2019-02-09;221
1;2019-02-09;238
1;2019-02-09;222
1;2019-02-09;187
1;2019-02-09;178
1;2019-02-09;164
1;2019-02-09;166
1;2019-02-09;170
1;2019-02-01;140
1;2019-02-02;121
1;2019-02-03;120
1;2019-02-04;116
1;2019-02-05;112
1;2019-02-06;120
1;2019-02-07;120
1;2019-02-08;148
1;2019-02-09;176
1;2019-02-09;182
1;2019-02-09;200
1;2019-02-09;189
1;2019-02-09;158
1;2019-02-09;152
1;2019-02-09;156
1;2019-02-09;160
1;2019-02-09;158
1;2019-02-09;163
1;2019-02-09;168
1;2019-02-09;200
1;2019-02-09;225
1;2019-02-09;230
